cryptocurrency,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,var_5,var_1,expected_shortfall_5,expected_shortfall_1,skewness,kurtosis,data_points
QTUM,-93.62933333333334,-21.02283113259469,107.39941122888106,-0.2143664557297271,-0.3533370121105072,-0.21318534205245185,-98.61292962356792,-8.802661805137946,-15.965261553671676,-13.326454929991332,-21.627578324468683,4.579534206548019,90.25506342851952,2939
STX,1635.6797583081573,25.999366280828305,15926.705125394634,0.0015068632270061977,0.1107841724025326,0.26026310712416206,-99.8964723356851,-13.689309127981769,-57.53331993838322,-35.77255485114093,-91.11415221854793,47.86591183482464,2507.3026051553197,3111
TWT,30.070597123421173,5.191587604902859,69.3970335439991,0.04599025984128455,0.07072072218221903,0.0687082431924238,-75.55989447093468,-5.771449970437711,-12.190639337260862,-9.24646818222658,-15.25163778913258,1.6305566177718438,19.772226955565827,1308
SHIB,20.355333333333327,2.8968304610078155,99.10181749531894,0.009049586411976522,0.015969631856322972,0.03157130255673737,-91.7551772151899,-7.743231012799969,-13.739677784435125,-11.702712855606592,-18.130170095386468,2.958819575219047,25.870073881115676,1634
AVAX,107.36990476190478,10.11748369111649,98.59458799287914,0.08233193987993301,0.13373623927435094,0.10825311987653602,-93.46135892116183,-8.367469748583952,-14.711534667614107,-12.600203989203292,-20.099998352343203,1.3149715099585935,14.346710251849125,1906
ZEC,-93.20776,-18.39977548414149,111.50150308192657,-0.18295516132327472,-0.27930422687422757,-0.1848355914731136,-99.5467125,-8.873765717294475,-16.92271800242515,-14.047411274231056,-24.082754146940424,2.9436843091580682,69.42925046840217,3332
SOL,12248.262426284753,79.58157746151745,102.02541165831764,0.7604142556301325,1.205298502426733,0.824889931313446,-96.47538955264278,-8.339300892065395,-14.882305075259774,-12.844884340885438,-21.90535378361802,0.5765198345587917,6.417536988307722,2072
RAY,-27.875210925549187,-6.097018916003383,114.56958699497474,-0.07067337090390781,-0.13155633739485154,-0.06805332841596926,-89.59178129739601,-8.952879603513322,-13.53652750887752,-12.794655854138146,-20.213648668381097,2.0398528927279984,15.424641918199546,1308
TEL,-49.46648877727201,-5.797331766105984,128.46733119945432,-0.06069505525883536,-0.1064403734121672,-0.05856164953427902,-98.99536321483772,-9.890303011527331,-17.922857482467606,-15.491396191676168,-25.552166852099724,1.174413050924377,6.56269940946709,2879
QNT,3137.1412143514262,41.91942523183112,104.15893898575688,0.3832549142737511,0.6612803619456062,0.4707659475328665,-89.04515173945227,-8.180199520396826,-14.84489989358774,-12.423802377009121,-20.409854804204848,1.795404566685321,17.621269713345864,2502
GT,90.41302946621444,13.189005335329362,62.816660920455625,0.17812161887270536,0.37732872853009497,0.21056449124063317,-62.63641726874529,-4.002239478904757,-7.662940186437808,-6.163852056116298,-9.243966201870297,16.075559029102124,444.1543593881082,1309
XCN,-92.78515540112883,-39.71719813565792,590.4110116581303,-0.07065789308112314,-0.7367458833650574,-0.3987042734282333,-99.61568205465198,-8.118221803301925,-14.04579892801427,-12.443734005193791,-18.741896290365183,34.47091610616074,1225.9626674427855,1308
LEO,367.681277056277,17.832545005990386,45.23577370678002,0.3500005351653215,0.4692048250375413,0.31041475307556854,-57.447478991596654,-3.769824967824965,-8.12019164207457,-6.46379960102053,-10.806357697639774,1.7130955614710566,28.1027980575447,2368
